,0,1,2,3,4,5,6,7
0,2012-05-18 00:00:00,-0.9553899951578009,-0.9056464738205091,-1.0289310340601843,-1.038194966689511,-1.038194966689511,16.44835300636573,-1.038194966689511
1,2012-05-21 00:00:00,-1.0760551140499692,-1.0871864553864976,-1.1387843801215645,-1.1299442535895854,-1.1299442535895854,4.010464146055176,-1.1299442535895854
2,2012-05-22 00:00:00,-1.1617447924425528,-1.1540123239005964,-1.1840439367281836,-1.1961347729627805,-1.1961347729627805,1.9730075550608452,-1.1961347729627805
3,2012-05-23 00:00:00,-1.1888507249473155,-1.1777387723306836,-1.1748162556590278,-1.1742897098544445,-1.1742897098544445,1.1081928174430538,-1.1742897098544445
4,2012-05-24 00:00:00,-1.154312520626731,-1.1622839515426897,-1.1658083032526638,-1.1517893166979216,-1.1517893166979216,0.39138079499206885,-1.1517893166979216
5,2012-05-25 00:00:00,-1.1554054799164937,-1.1679434278169334,-1.1803089229620969,-1.1762557655341948,-1.1762557655341948,-0.010163782825017351,-1.1762557655341948
6,2012-05-29 00:00:00,-1.1864461882782902,-1.195370331506759,-1.2343567911949649,-1.2433201092767863,-1.2433201092767863,1.2451378232218016,-1.2433201092767863
7,2012-05-30 00:00:00,-1.2472159183245055,-1.2419525765464687,-1.2517135979019938,-1.2575193784521417,-1.2575193784521417,0.6070951051880273,-1.2575193784521417
8,2012-05-31 00:00:00,-1.2504949054919083,-1.239340468713387,-1.2743434091613073,-1.226717861314451,-1.226717861314451,2.2753027479487087,-1.226717861314451
9,2012-06-01 00:00:00,-1.2430626336760864,-1.2506595083314105,-1.262039856373102,-1.2677866018031858,-1.2677866018031858,0.13421541547516927,-1.2677866018031858
10,2012-06-04 00:00:00,-1.280005352806073,-1.2833105841526313,-1.2829119481834257,-1.2856995317069584,-1.2856995317069584,-0.0690574375707955,-1.2856995317069584
11,2012-06-05 00:00:00,-1.290935164299929,-1.2809161719257416,-1.2980717319105652,-1.3081999248634812,-1.3081999248634812,0.15317368026673808,-1.3081999248634812
12,2012-06-06 00:00:00,-1.3047067486418102,-1.293758928415422,-1.303124985829389,-1.2876656092317718,-1.2876656092317718,0.7366120547990476,-1.2876656092317718
13,2012-06-07 00:00:00,-1.2843772992632385,-1.2898407993168755,-1.289283464225655,-1.2985881407859396,-1.2985881407859396,-0.34736562380054514,-1.2985881407859396
14,2012-06-08 00:00:00,-1.2942141514673318,-1.2809161719257416,-1.2829119481834257,-1.281330519085291,-1.281330519085291,0.016965036933366102,-1.281330519085291
15,2012-06-11 00:00:00,-1.2804425671254502,-1.2741682829226895,-1.2741237024691845,-1.283296574765041,-1.283296574765041,-0.2841581123956076,-1.283296574765041
16,2012-06-12 00:00:00,-1.2738846802291368,-1.2806984980869338,-1.2714872441343807,-1.2747770001527903,-1.2747770001527903,-0.6646979514583516,-1.2747770001527903
17,2012-06-13 00:00:00,-1.2699499480913488,-1.273515261406265,-1.2684113284739926,-1.277616858356874,-1.277616858356874,-0.6252411970936366,-1.277616858356874
18,2012-06-14 00:00:00,-1.2701685443212258,-1.268726436952486,-1.2622595630652247,-1.255334872141308,-1.255334872141308,-0.6328441393421408,-1.255334872141308
19,2012-06-15 00:00:00,-1.2513692685517936,-1.229980493644637,-1.2409479919586477,-1.217761385440033,-1.217761385440033,0.18662908070164116,-1.217761385440033
20,2012-06-18 00:00:00,-1.219672837079235,-1.1868810300258577,-1.2176590825936353,-1.1871782970883629,-1.1871782970883629,0.16868331427246397,-1.1871782970883629
21,2012-06-19 00:00:00,-1.1851345890394045,-1.1847043351725441,-1.18931689733913,-1.1762557655341948,-1.1762557655341948,-0.2034834701509871,-1.1762557655341948
22,2012-06-20 00:00:00,-1.176827954163697,-1.1901461811427476,-1.179430118164275,-1.183027735097779,-1.183027735097779,-0.6727733929426386,-1.183027735097779
23,2012-06-21 00:00:00,-1.1822928599106248,-1.1777387723306836,-1.1715206772478555,-1.1777849199517783,-1.1777849199517783,-0.4788124566538209,-1.1777849199517783
24,2012-06-22 00:00:00,-1.1661167388997185,-1.1570597358765264,-1.1594367872104345,-1.1513524154357548,-1.1513524154357548,1.1460541198427883,-1.1513524154357548
25,2012-06-25 00:00:00,-1.156279886695625,-1.1664197327126602,-1.1706418724500338,-1.1729789842228813,-1.1729789842228813,-0.40279530687620174,-1.1729789842228813
26,2012-06-26 00:00:00,-1.159996066322782,-1.1572774532501025,-1.1497697147277024,-1.150260184125401,-1.150260184125401,-0.38727646833990864,-1.150260184125401
27,2012-06-27 00:00:00,-1.1650237796099558,-1.1690317752435901,-1.162952116255068,-1.1692653453395272,-1.1692653453395272,-0.2734685842302369,-1.1692653453395272
28,2012-06-28 00:00:00,-1.1759535911038117,-1.1844866831011198,-1.184922785467344,-1.1882705283987165,-1.1882705283987165,-0.6065099773893919,-1.1882705283987165
29,2012-06-29 00:00:00,-1.176827954163697,-1.1888401381098987,-1.1879986791570625,-1.1939502666519468,-1.1939502666519468,-0.5508655219338341,-1.1939502666519468
30,2012-07-02 00:00:00,-1.1914739015654638,-1.1944996579189102,-1.1926125416623097,-1.201159137477698,-1.201159137477698,-0.7166974128092998,-1.201159137477698
31,2012-07-03 00:00:00,-1.1989061733812858,-1.2008121774769625,-1.1871198743592408,-1.1917657384960503,-1.1917657384960503,-0.8811026014468499,-1.1917657384960503
32,2012-07-05 00:00:00,-1.189943727956324,-1.1966764180743756,-1.1822863051618708,-1.1858676151469256,-1.1858676151469256,-0.8421827780318879,-1.1858676151469256
